gcode,langname,name_in_source,source,size,,
nuuc1236,Nuu-chah-nulth,Nootka,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",6,,
tute1247,Tutelo,Occaneechi,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",5,,
sout2978,Southern Eastern Cree,Eastern Cree,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",8,,
nort2961,Northwestern Ojibwa,Northern Saulteaux,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",6,,
sout2956,Southern Haida,Haida,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
nort2951,Northwest Maidu,Maidu,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
nava1243,Navajo,Navaho,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
nort2954,Northern Pauite,Bannock,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
siks1238,Siksika,Blackfoot,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
arik1262,Arikara,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
kiow1266,Kiowa,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
choc1276,Choctaw,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
bell1243,Bella Coola,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
maka1318,Makah,Makaw,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
luis1253,Juaneno,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
hopi1249,Hopi,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
zuni1245,Zuni,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
tewa1260,Rio Grande Tewa,Hano,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",2,,
west2618,Western Canadian Inuktitut,Copper Eskimo,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",5,,
midg1235,Mid Grand Valley Dani,Dani,"Heider, K. G. (1976). Dani sexuality: a low energy system. Man, 188-201.",0,,
bekw1242,Bekwel,Bakwele,"Oishi, T. (2016). Ethnoecology and ethnomedicinal use of fish among the Bakwele of southeastern Cameroon. Revue d'ethnoécologie, (10).",5,,
patt1249,Kelantan-Pattani Malay,Kelantanese,"Raybeck, D. (1996). Mad dogs, Englishmen, and the errant anthropologist: Fieldwork in Malaysia. Waveland Press.",5,,
pula1263,Pulaar,Fula,"Shipton, Parker (1993). The control of land on the Upper Gambia River: A description with policy implications.",5,,
nort1550,Taos,NA,"Levinson, D. (1995). Human environments: a cross-cultural encyclopedia. Abc-Clio Incorporated",4,,
